Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
184.178.172.25:15291,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1037
198.8.84.3:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,426
103.155.42.38:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,8958
192.111.129.145:16894,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,927
68.71.247.130:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,445
66.42.224.229:41679,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3095
98.178.72.21:10919,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1038
184.178.172.18:15280,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1033
174.77.111.198:49547,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1045
192.111.139.163:19404,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,920
162.253.68.97:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,437
208.102.51.6:58208,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3975
192.111.134.10:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,450
68.71.245.206:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,457
199.58.184.97:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,933
192.111.135.18:18301,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,941
69.61.200.104:36181,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4107
72.37.217.3:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,453
192.252.220.92:17328,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,461
107.181.168.145:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,636
192.252.215.5:16137,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,921
192.111.130.5:17002,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,938
192.252.209.155:14455,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,933
142.54.237.38:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,456
192.252.208.67:14287,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,940
